year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2023,Bachelor,West End/Stanley Park,0.3,,1440.0,1345.0,682.0
2023,Bachelor,English Bay,,,1451.0,1434.0,895.0
2023,Bachelor,Downtown,1.3,,1791.0,1693.0,2449.0
2023,Bachelor,South Granville/Oak,0.2,,1444.0,1347.0,1791.0
2023,Bachelor,Kitsilano/Point Grey,1.0,,1441.0,1438.0,912.0
2023,Bachelor,Westside/Kerrisdale,1.6,,1590.0,,279.0
2023,Bachelor,Marpole,,,1082.0,999.0,329.0
2023,Bachelor,Mount Pleasant/Renfrew Heights,0.8,,1521.0,1632.0,1083.0
2023,Bachelor,East Hastings,0.1,,1535.0,1550.0,1149.0
2023,Bachelor,University Endowment Lands,0.0,,1644.0,1666.0,210.0
2023,Bachelor,Central Park/Metrotown,4.8,,1532.0,,294.0
2023,Bachelor,Southeast Burnaby,0.0,,1032.0,950.0,138.0
2023,Bachelor,North Burnaby,0.0,,1108.0,913.0,282.0
2023,Bachelor,New Westminster,0.9,,1357.0,1300.0,1103.0
2023,Bachelor,Richmond,0.0,,1501.0,,348.0
2023,Bachelor,Delta,1.2,,932.0,874.0,79.0
2023,Bachelor,Surrey,,,1355.0,1479.0,156.0
2023,Bachelor,White Rock,,,1025.0,909.0,75.0
2023,Bachelor,Langley City and Langley DM,,,1091.0,,190.0
2023,Bachelor,Tri-Cities,0.0,,1404.0,,207.0
2023,Bachelor,Maple Ridge/Pitt Meadows,,,,,22.0
