year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2024,2BHK,West End/Stanley Park,1.1,,2609.0,2675.0,482.0
2024,2BHK,English Bay,1.6,,2758.0,2600.0,728.0
2024,2BHK,Downtown,3.0,,3209.0,3150.0,1726.0
2024,2BHK,South Granville/Oak,0.8,,2415.0,2325.0,1737.0
2024,2BHK,Kitsilano/Point Grey,2.7,,2685.0,2523.0,1440.0
2024,2BHK,Westside/Kerrisdale,1.9,,2860.0,2900.0,1101.0
2024,2BHK,Marpole,0.3,,1809.0,1847.0,698.0
2024,2BHK,Mount Pleasant/Renfrew Heights,2.2,,2415.0,2350.0,1382.0
2024,2BHK,East Hastings,1.7,,2382.0,2300.0,1103.0
2024,2BHK,University Endowment Lands,0.0,,3105.0,3250.0,808.0
2024,2BHK,Central Park/Metrotown,1.0,,1954.0,1900.0,1358.0
2024,2BHK,Southeast Burnaby,0.2,,1819.0,1800.0,620.0
2024,2BHK,North Burnaby,1.5,,2187.0,2179.0,1258.0
2024,2BHK,New Westminster,1.0,,2015.0,1942.0,2703.0
2024,2BHK,Richmond,0.9,,2089.0,1888.0,1445.0
2024,2BHK,Delta,0.7,,1779.0,1815.0,767.0
2024,2BHK,Surrey,0.8,,1862.0,1800.0,3088.0
2024,2BHK,White Rock,1.1,,1692.0,1683.0,405.0
2024,2BHK,Langley City and Langley DM,2.6,,2177.0,2150.0,1933.0
2024,2BHK,Tri-Cities,1.6,,2279.0,2150.0,2228.0
2024,2BHK,Maple Ridge/Pitt Meadows,,,1739.0,1750.0,635.0
