year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2021,3BHK,West End/Stanley Park,0.0,,3331.0,3150.0,33.0
2021,3BHK,English Bay,,,3154.0,,32.0
2021,3BHK,Downtown,1.5,,3995.0,,91.0
2021,3BHK,South Granville/Oak,0.0,,3082.0,2900.0,73.0
2021,3BHK,Kitsilano/Point Grey,0.0,,3176.0,3200.0,77.0
2021,3BHK,Westside/Kerrisdale,,,3025.0,2900.0,105.0
2021,3BHK,Marpole,0.0,,1657.0,,18.0
2021,3BHK,Mount Pleasant/Renfrew Heights,0.0,,2565.0,,91.0
2021,3BHK,East Hastings,0.0,,2013.0,1842.0,122.0
2021,3BHK,University Endowment Lands,0.0,,3605.0,3695.0,110.0
2021,3BHK,Central Park/Metrotown,1.7,,2097.0,1925.0,50.0
2021,3BHK,Southeast Burnaby,,,1820.0,1800.0,71.0
2021,3BHK,North Burnaby,4.9,,1907.0,1949.0,428.0
2021,3BHK,New Westminster,1.2,,2057.0,2113.0,181.0
2021,3BHK,Richmond,0.4,,2000.0,1900.0,377.0
2021,3BHK,Delta,,,2048.0,2500.0,44.0
2021,3BHK,Surrey,0.5,,1579.0,1525.0,590.0
2021,3BHK,White Rock,0.0,,,,10.0
2021,3BHK,Langley City and Langley DM,1.0,,1691.0,1750.0,267.0
2021,3BHK,Tri-Cities,3.3,,1951.0,1947.0,415.0
2021,3BHK,Maple Ridge/Pitt Meadows,1.6,,1749.0,1725.0,121.0
