year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2022,3BHK,West End/Stanley Park,,,3347.0,3145.0,34.0
2022,3BHK,English Bay,,,,,32.0
2022,3BHK,Downtown,,,4169.0,3800.0,95.0
2022,3BHK,South Granville/Oak,0.0,,3041.0,,72.0
2022,3BHK,Kitsilano/Point Grey,0.0,,3204.0,3200.0,78.0
2022,3BHK,Westside/Kerrisdale,,,3935.0,,146.0
2022,3BHK,Marpole,0.0,,,,17.0
2022,3BHK,Mount Pleasant/Renfrew Heights,0.0,,3059.0,3350.0,104.0
2022,3BHK,East Hastings,0.0,,1988.0,1860.0,108.0
2022,3BHK,University Endowment Lands,0.0,,3639.0,3500.0,76.0
2022,3BHK,Central Park/Metrotown,1.6,,2442.0,2000.0,54.0
2022,3BHK,Southeast Burnaby,,,,,72.0
2022,3BHK,North Burnaby,1.3,,2134.0,1978.0,428.0
2022,3BHK,New Westminster,0.5,,2515.0,2329.0,242.0
2022,3BHK,Richmond,0.2,,2376.0,2436.0,349.0
2022,3BHK,Delta,0.0,,2774.0,2800.0,55.0
2022,3BHK,Surrey,0.0,,1675.0,1796.0,550.0
2022,3BHK,White Rock,0.0,,2660.0,3200.0,11.0
2022,3BHK,Langley City and Langley DM,0.9,,1761.0,1702.0,253.0
2022,3BHK,Tri-Cities,,,1896.0,1726.0,259.0
2022,3BHK,Maple Ridge/Pitt Meadows,1.7,,1912.0,1900.0,121.0
