year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2021,1BHK,West End/Stanley Park,0.5,,1539.0,1595.0,2681.0
2021,1BHK,English Bay,1.1,,1621.0,1670.0,5108.0
2021,1BHK,Downtown,1.8,,1727.0,1650.0,7750.0
2021,1BHK,South Granville/Oak,0.8,,1567.0,1525.0,5116.0
2021,1BHK,Kitsilano/Point Grey,0.9,,1579.0,1600.0,5015.0
2021,1BHK,Westside/Kerrisdale,0.6,,1474.0,1459.0,1860.0
2021,1BHK,Marpole,0.3,,1161.0,1155.0,2743.0
2021,1BHK,Mount Pleasant/Renfrew Heights,0.9,,1388.0,1400.0,4504.0
2021,1BHK,East Hastings,0.9,,1298.0,1275.0,3554.0
2021,1BHK,University Endowment Lands,0.0,,1879.0,1850.0,611.0
2021,1BHK,Central Park/Metrotown,1.3,,1280.0,1200.0,3271.0
2021,1BHK,Southeast Burnaby,0.7,,1185.0,1175.0,1348.0
2021,1BHK,North Burnaby,2.4,,1338.0,1313.0,2435.0
2021,1BHK,New Westminster,1.0,,1275.0,1235.0,5871.0
2021,1BHK,Richmond,1.2,,1316.0,1350.0,1407.0
2021,1BHK,Delta,0.9,,1138.0,1180.0,842.0
2021,1BHK,Surrey,0.6,,1175.0,1200.0,2886.0
2021,1BHK,White Rock,0.6,,1149.0,1105.0,942.0
2021,1BHK,Langley City and Langley DM,1.7,,1274.0,1300.0,1478.0
2021,1BHK,Tri-Cities,2.8,,1308.0,1290.0,2556.0
2021,1BHK,Maple Ridge/Pitt Meadows,5.5,,1098.0,1190.0,1099.0
