year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2024,Bachelor,West End/Stanley Park,1.3,,1667.0,1750.0,684.0
2024,Bachelor,English Bay,3.0,,1612.0,1618.0,901.0
2024,Bachelor,Downtown,2.3,,1783.0,1803.0,2516.0
2024,Bachelor,South Granville/Oak,1.4,,1510.0,1450.0,1807.0
2024,Bachelor,Kitsilano/Point Grey,0.5,,1509.0,1556.0,905.0
2024,Bachelor,Westside/Kerrisdale,,,1749.0,1900.0,278.0
2024,Bachelor,Marpole,,,1306.0,1225.0,328.0
2024,Bachelor,Mount Pleasant/Renfrew Heights,2.9,,1624.0,1645.0,1202.0
2024,Bachelor,East Hastings,1.6,,1625.0,1650.0,1172.0
2024,Bachelor,University Endowment Lands,0.0,,1769.0,1700.0,246.0
2024,Bachelor,Central Park/Metrotown,3.0,,1513.0,1350.0,281.0
2024,Bachelor,Southeast Burnaby,0.0,,1112.0,1100.0,139.0
2024,Bachelor,North Burnaby,1.4,,1286.0,1100.0,291.0
2024,Bachelor,New Westminster,1.4,,1530.0,1700.0,1122.0
2024,Bachelor,Richmond,0.9,,1451.0,1400.0,342.0
2024,Bachelor,Delta,0.0,,1119.0,1000.0,79.0
2024,Bachelor,Surrey,2.5,,1427.0,1360.0,241.0
2024,Bachelor,White Rock,1.2,,1165.0,1137.0,73.0
2024,Bachelor,Langley City and Langley DM,0.9,,1103.0,1000.0,96.0
2024,Bachelor,Tri-Cities,0.4,,1630.0,,292.0
2024,Bachelor,Maple Ridge/Pitt Meadows,,,,,22.0
