year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2020,1BHK,West End/Stanley Park,1.3,,1537.0,1600.0,2660.0
2020,1BHK,English Bay,1.5,,1637.0,1650.0,5111.0
2020,1BHK,Downtown,6.4,,1741.0,1725.0,7716.0
2020,1BHK,South Granville/Oak,2.4,,1517.0,1480.0,5024.0
2020,1BHK,Kitsilano/Point Grey,1.6,,1553.0,1550.0,4995.0
2020,1BHK,Westside/Kerrisdale,1.5,,1459.0,1450.0,1818.0
2020,1BHK,Marpole,1.1,,1138.0,1150.0,2775.0
2020,1BHK,Mount Pleasant/Renfrew Heights,1.3,,1351.0,1325.0,4394.0
2020,1BHK,East Hastings,1.2,,1319.0,1288.0,3541.0
2020,1BHK,University Endowment Lands,7.1,,1922.0,1890.0,550.0
2020,1BHK,Central Park/Metrotown,3.6,,1241.0,1168.0,3546.0
2020,1BHK,Southeast Burnaby,1.3,,1129.0,1098.0,1370.0
2020,1BHK,North Burnaby,3.7,,1365.0,1300.0,2450.0
2020,1BHK,New Westminster,1.4,,1230.0,1175.0,5797.0
2020,1BHK,Richmond,2.0,,1311.0,1250.0,1427.0
2020,1BHK,Delta,2.2,,1078.0,1125.0,848.0
2020,1BHK,Surrey,1.3,,1139.0,1125.0,2863.0
2020,1BHK,White Rock,1.0,,1091.0,1058.0,930.0
2020,1BHK,Langley City and Langley DM,1.9,,1236.0,1250.0,1390.0
2020,1BHK,Tri-Cities,2.0,,1221.0,1175.0,2441.0
2020,1BHK,Maple Ridge/Pitt Meadows,0.8,,1012.0,999.0,1029.0
