year,room_type,zone,vacancy_rate,availability_rate,average_rent,median_rent,units
2024,3BHK,West End/Stanley Park,0.0,,3584.0,3317.0,35.0
2024,3BHK,English Bay,3.4,,3888.0,3500.0,33.0
2024,3BHK,Downtown,,,4814.0,4800.0,100.0
2024,3BHK,South Granville/Oak,,,3368.0,3600.0,118.0
2024,3BHK,Kitsilano/Point Grey,0.0,,3621.0,3850.0,91.0
2024,3BHK,Westside/Kerrisdale,2.8,,4207.0,,152.0
2024,3BHK,Marpole,,,,,19.0
2024,3BHK,Mount Pleasant/Renfrew Heights,5.4,,4135.0,4100.0,219.0
2024,3BHK,East Hastings,0.7,,2305.0,2041.0,132.0
2024,3BHK,University Endowment Lands,0.7,,3512.0,3400.0,263.0
2024,3BHK,Central Park/Metrotown,0.0,,2562.0,,50.0
2024,3BHK,Southeast Burnaby,0.0,,,,75.0
2024,3BHK,North Burnaby,2.2,,2294.0,2250.0,405.0
2024,3BHK,New Westminster,1.0,,2403.0,,334.0
2024,3BHK,Richmond,0.9,,2241.0,2251.0,407.0
2024,3BHK,Delta,,,3033.0,3200.0,51.0
2024,3BHK,Surrey,0.5,,1718.0,1600.0,660.0
2024,3BHK,White Rock,,,,,12.0
2024,3BHK,Langley City and Langley DM,1.9,,2160.0,1893.0,292.0
2024,3BHK,Tri-Cities,1.5,,2414.0,,310.0
2024,3BHK,Maple Ridge/Pitt Meadows,,,2412.0,2362.0,77.0
